100 * 36 * 100 / ( 3 * 10 ) / ( 3 * 10 ) 	400
 ( 32 + 4 ) * 120 - 120 * 32 / ( 40 - ( 32 + 4 ) ) * 4	480
90 / ( 1 - 2 / 3 ) 	270
120 / 50 * 100	240
10 / 20	0.5
 ( 218 * 16 / 100 - 30 ) / ( 16 / 100 - 12 / 100 ) 	122
100 - 1000 * 100 / 823	-21.51
 ( 6 * 8 - 3 * 6 ) / ( 6 + 4 ) 	3
25 * 25 / 100	6.25
36 * 4 / 5 * ( 4 / 5 ) / ( 1 - 4 / 5 * ( 4 / 5 ) ) / ( 4 / 5 ) 	80
8 * 1.5 + 75	87
 ( 125 - 15 * 0.2778 * 15 ) / 15 / 0.2778	15
10 * 10 + 10 * 80 - 15 * 60	0
5 * 4 - 12	8
15 * 15	225
 ( 30 / 100 * 2 + 40 / 100 * 6 ) / 10 * 100	30
 ( 324 * 25 - 70 * 100 ) / ( 25 - 20 ) 	220
 ( 18 - 947 ) / 8	-116.12
1100 - ( 1100 / 11 + 1100 / 35 - 1100 / ( 11 * 35 ) ) 	971.43
6 * 5 * 2 / 2 + 3	33
1 - ( 5 / ( ( 2 + 5 ) * 5 ) + 2 / ( ( 2 + 5 ) * 5 ) + 1 / ( ( 2 + 5 ) * 5 ) ) 	0.77
 ( 8.25 - ( 6 - 1 ) * 6 / 2 * 0.1 ) / 6 + ( 6 - 1 ) * 0.1	1.62
 ( 3 + 4 ) * ( 2 + 3 ) 	35
 ( 57 + 43 ) / 2	50
15 * ( 1 - 20 / 100 ) / 8 * 100	150
 ( 2000 * 54 - 2000 * 15 ) / 20 - 2000	1900
100 + 30 + ( 100 + 30 ) * 10 / 100 - 100	43
 ( 1383 - 7 - ( 935 - 7 ) - ( 263 - 7 ) ) / 3 / 2	32
900 / ( ( 63 - 3 ) * 0.2778 ) 	54
 ( 6 + 4 + 38 - 4 ) / 2	22
 ( 100 - 96 ) / 96 * 100	4.17
27 / 75 * 100 * 14 - 27 * 14	126
150 * ( 25 + 10 ) / ( 150 - 25 ) 	42
306 / ( 1 - 4 * 8 / 100 ) 	450
 ( 50 * 4 - 144 ) / 2	28
